DISTRICT,DD003AMA1219R,DD003ARE1219R,DD203AMA1219R,DD203ARE1219R,DD303AMA1219R,DD303ARE1219R,DD403AMA1219R,DD403ARE1219R,DDA03AMA1219R,DDA03ARE1219R,DDB03AMA1219R,DDB03ARE1219R,DDE03AMA1219R,DDE03ARE1219R,DDF03AMA1219R,DDF03ARE1219R,DDH03AMA1219R,DDH03ARE1219R,DDI03AMA1219R,DDI03ARE1219R,DDL03AMA1219R,DDL03ARE1219R,DDM03AMA1219R,DDM03ARE1219R,DDR03AMA1219R,DDR03ARE1219R,DDS03AMA1219R,DDS03ARE1219R,DDW03AMA1219R,DDW03ARE1219R,DNC03AMA1219R,DNC03ARE1219R,DNM03AMA1219R,DNM03ARE1219R,DNS03AMA1219R,DNS03ARE1219R
'020907,44,40,63,25,.,.,.,.,43,35,20,5,30,25,45,42,35,29,-1,-1,39,35,42,27,28,18,42,35,50,43,44,36,40,31,-1,-1
'020908,67,55,72,68,92,84,.,.,68,63,55,54,53,44,68,67,59,52,-1,-1,63,49,69,60,49,40,37,29,74,71,70,65,59,57,76,69
'020910,-1,-1,.,.,.,.,.,.,38,23,-1,-1,42,25,-1,-1,50,25,.,.,-1,-1,44,33,36,18,-1,-1,-1,-1,40,20,-1,-1,-1,-1
'021803,33,0,.,.,.,.,.,.,25,9,8,8,20,10,15,10,35,10,.,.,33,0,42,8,20,0,.,.,.,.,50,0,6,17,.,.
'021805,8,23,-1,-1,-1,-1,.,.,39,43,43,49,34,39,41,49,25,19,-1,-1,8,23,38,40,21,27,33,17,14,29,50,59,31,31,.,.
'021901,56,49,65,44,84,76,-1,-1,59,51,22,17,35,29,58,56,41,42,33,44,40,35,59,47,37,29,37,26,71,60,62,53,50,46,72,44
'021902,46,37,65,46,75,75,.,.,46,38,32,26,41,32,45,40,45,35,-1,-1,45,36,47,37,39,27,34,30,60,58,47,38,43,39,46,21
'022004,-1,-1,.,.,.,.,.,.,0,20,.,.,0,20,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.
'022901,33,33,-1,-1,-1,-1,.,.,45,51,-1,-1,39,39,50,68,46,51,.,.,33,33,40,38,28,39,-1,-1,40,53,43,50,50,56,.,.
'022902,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.
'022903,.,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,-1,-1,-1,-1,.,.
'023902,-1,-1,-1,-1,.,.,.,.,42,33,.,.,25,25,50,33,20,20,.,.,-1,-1,33,33,-1,-1,-1,-1,67,50,45,36,-1,-1,.,.
'024901,-1,-1,.,.,-1,-1,.,.,37,25,.,.,34,23,32,28,35,24,.,.,-1,-1,42,22,13,9,42,8,-1,-1,36,26,44,22,.,.
'025901,-1,-1,-1,-1,.,.,.,.,43,38,-1,-1,42,35,50,44,22,22,.,.,-1,-1,32,28,18,18,-1,-1,49,43,50,39,20,33,-1,-1
'025902,40,10,83,83,-1,-1,.,.,43,37,40,50,35,29,43,39,33,26,-1,-1,43,14,42,36,15,17,23,15,49,43,42,39,43,34,-1,-1
'025904,-1,-1,.,.,.,.,.,.,33,33,.,.,38,38,0,0,-1,-1,.,.,-1,-1,80,80,-1,-1,-1,-1,13,13,38,38,-1,-1,-1,-1
'025905,-1,-1,-1,-1,.,.,.,.,29,50,-1,-1,33,44,20,40,-1,-1,.,.,-1,-1,33,56,-1,-1,-1,-1,40,70,33,50,-1,-1,.,.
'025906,.,.,.,.,.,.,.,.,38,46,.,.,33,33,40,40,-1,-1,.,.,.,.,38,50,13,13,-1,-1,42,50,29,29,50,67,-1,-1
'025908,.,.,.,.,.,.,.,.,20,20,.,.,0,0,-1,-1,-1,-1,.,.,.,.,17,17,-1,-1,-1,-1,22,22,40,40,0,0,.,.
'025909,-1,-1,-1,-1,-1,-1,.,.,39,56,-1,-1,34,48,35,58,15,40,.,.,.,.,43,55,22,33,11,22,48,65,46,60,18,45,-1,-1
'026901,33,19,67,67,.,.,.,.,43,41,7,7,33,29,41,40,43,34,-1,-1,32,21,45,42,17,12,38,31,50,52,42,40,47,42,67,50
'026902,0,0,-1,-1,.,.,.,.,26,31,13,13,19,23,32,42,8,33,.,.,-1,-1,19,19,0,0,-1,-1,50,50,22,33,29,29,.,.
'026903,44,22,-1,-1,.,.,.,.,53,47,60,60,46,36,62,62,50,44,.,.,44,22,48,39,36,18,20,20,50,33,64,59,36,29,-1,-1
'027903,30,13,-1,-1,-1,-1,.,.,38,38,-1,-1,26,22,40,36,25,22,-1,-1,27,14,35,40,24,25,16,26,42,44,37,35,40,47,17,67
'027904,22,29,-1,-1,-1,-1,.,.,38,42,-1,-1,30,36,37,41,26,33,.,.,22,29,38,44,22,28,18,21,49,51,38,41,39,49,30,30
'028902,36,24,56,22,.,.,.,.,39,32,13,25,35,27,37,35,36,29,-1,-1,35,22,40,28,29,21,22,22,50,45,40,32,35,30,16,16
'028903,27,13,-1,-1,.,.,-1,-1,36,27,20,20,30,22,37,31,26,25,-1,-1,15,0,36,22,20,12,25,0,65,35,41,26,20,30,-1,-1
'028906,-1,-1,-1,-1,.,.,.,.,20,20,.,.,0,14,-1,-1,25,13,.,.,-1,-1,17,33,0,0,-1,-1,-1,-1,0,17,-1,-1,.,.
